
joao,90.9,07/03/2025
uva,30.0,07/03/2025
uva,10.0,07/03/2025
jaca,50.0,07/03/2025
uva,50.0,07/03/2025
uva,90.0,07/03/2025
jaca,180.0,07/03/2025
uva,30.0,08/03/2025
jaca,900.0,08/03/2025
jaca,90.0,08/03/2025
,3.0,08/03/2025
1,10.0,08/03/2025
2,34.0,08/03/2025
uva,20.0,08/03/2025
jaca,30.0,08/03/2025
lata,0.3,09/03/2025
leite,0.5,09/03/2025
uva,10.0,09/03/2025
leite,30.0,09/03/2025
jaca,20.0,09/03/2025
leite,30.0,09/03/2025
leite,30.0,09/03/2025
jaca,20.0,09/03/2025
jaca,30.0,09/03/2025
jaca,20.0,09/03/2025
uva,30.0,09/03/2025
uva,20.0,09/03/2025
jaca,30.0,09/03/2025
uva,30.0,09/03/2025
elmemfwe,20.0,09/03/2025
uva,30.0,09/03/2025
dedededede,30.0,09/03/2025
uva,20.0,09/03/2025
eededede,30.0,09/03/2025
uva,20.0,09/03/2025
uva,20.0,09/03/2025
jaca,30.0,09/03/2025
uva,20.0,09/03/2025
asdsdsddsd,30.0,09/03/2025
uva,30.0,09/03/2025
ssdsdsdsdsd,30.0,09/03/2025
uva,23.0,09/03/2025
uva,30.0,09/03/2025
aaaaaaaaaaaa,30.0,09/03/2025
uva,30.0,09/03/2025
aaaaaaaa,40.0,09/03/2025
uav,20.0,09/03/2025
aaaaaaaaaaaaaa,30.0,09/03/2025
uva,20.0,09/03/2025
jaca,30.0,09/03/2025
uva,2.0,09/03/2025
aaaaaaaaa,3.0,09/03/2025
uva,2.0,09/03/2025
aaaaaaaaaa,3.0,09/03/2025
uva,30.0,09/03/2025
aaaaaaaaaaaaaa,30.0,09/03/2025
uva,10.0,09/03/2025
aaaaaaaa,2.0,09/03/2025
uva,20.0,09/03/2025
aaaaaaaaa,20.0,09/03/2025
uva,2.0,09/03/2025
aaaaaaaaaa,2.0,09/03/2025
uva,2.0,09/03/2025
aaaaaaaaaa,1.0,09/03/2025
uva,2.0,09/03/2025
uva,2.0,09/03/2025
jaca,30.0,09/03/2025
a,2.0,09/03/2025
a,2.0,09/03/2025
a,2.0,09/03/2025
a,3.0,09/03/2025
a,2.0,09/03/2025
a,3.0,09/03/2025
